id,order_id,payment_method,amount,transaction_date
1,1,credit_card,1000,2018-01-01
2,2,credit_card,2000,2018-01-02
3,3,coupon,100,2018-01-04
4,4,coupon,2500,2018-01-05
5,5,bank_transfer,1700,2018-01-05
6,6,credit_card,600,2018-01-07
7,7,credit_card,1600,2018-01-09
8,8,credit_card,2300,2018-01-11
9,9,gift_card,2300,2018-01-12
10,10,bank_transfer,2600,2018-01-14
11,10,bank_transfer,2600,2018-01-14
12,11,credit_card,2700,2018-01-15
13,12,credit_card,100,2018-01-16
14,13,credit_card,500,2018-01-17
15,13,bank_transfer,1400,2018-01-18
16,14,bank_transfer,300,2018-01-19
17,15,coupon,2200,2018-01-20
18,16,credit_card,1000,2018-01-21
19,17,bank_transfer,200,2018-01-22
20,18,credit_card,500,2018-01-23
21,18,credit_card,800,2018-01-24
22,19,gift_card,600,2018-01-25
23,20,bank_transfer,1500,2018-01-26
24,21,credit_card,1200,2018-01-27
25,22,bank_transfer,800,2018-01-28
26,23,gift_card,2300,2018-01-29
27,24,coupon,2600,2018-01-30
28,25,bank_transfer,2000,2018-01-31
29,25,credit_card,2200,2018-02-01
30,25,coupon,1600,2018-02-02
31,26,credit_card,3000,2018-02-03
32,27,credit_card,2300,2018-02-04
33,28,bank_transfer,1900,2018-02-05
34,29,bank_transfer,1200,2018-02-06
35,30,credit_card,1300,2018-02-07
36,31,credit_card,1200,2018-02-08
37,32,credit_card,300,2018-02-09
38,33,credit_card,2200,2018-02-10
39,34,bank_transfer,1500,2018-02-11
40,35,credit_card,2900,2018-02-12
41,36,bank_transfer,900,2018-02-13
42,37,credit_card,2300,2018-02-14
43,38,credit_card,1500,2018-02-15
44,39,bank_transfer,800,2018-02-16
45,40,credit_card,1400,2018-02-17
46,41,credit_card,1700,2018-02-18
47,42,coupon,1700,2018-02-19
48,43,gift_card,1800,2018-02-20
49,44,gift_card,1100,2018-02-21
50,45,bank_transfer,500,2018-02-22
51,46,bank_transfer,800,2018-02-23
52,47,credit_card,2200,2018-02-24
53,48,bank_transfer,300,2018-02-25
54,49,credit_card,600,2018-02-26
55,49,credit_card,900,2018-02-27
56,50,credit_card,2600,2018-02-28
57,51,credit_card,2900,2018-03-01
58,51,credit_card,100,2018-03-02
59,52,bank_transfer,1500,2018-03-03
60,53,credit_card,300,2018-03-04
61,54,credit_card,1800,2018-03-05
62,54,bank_transfer,1100,2018-03-06
63,55,credit_card,2900,2018-03-07
64,56,credit_card,400,2018-03-08
65,57,bank_transfer,200,2018-03-09
66,58,coupon,1800,2018-03-10
67,58,gift_card,600,2018-03-11
68,59,gift_card,2800,2018-03-12
69,60,credit_card,400,2018-03-13
70,61,bank_transfer,1600,2018-03-14
71,62,gift_card,1400,2018-03-15
72,63,credit_card,2900,2018-03-16
73,64,bank_transfer,2600,2018-03-17
74,65,credit_card,0,2018-03-18
75,66,credit_card,2800,2018-03-19
76,67,bank_transfer,400,2018-03-20
77,67,credit_card,1900,2018-03-21
78,68,credit_card,1600,2018-03-22
79,69,credit_card,1900,2018-03-23
80,70,credit_card,2600,2018-03-24
81,71,credit_card,500,2018-03-25
82,72,credit_card,2900,2018-03-26
83,73,bank_transfer,300,2018-03-27
84,74,credit_card,3000,2018-03-28
85,75,credit_card,1900,2018-03-29
86,76,coupon,200,2018-03-30
87,77,credit_card,0,2018-03-31
88,77,bank_transfer,1900,2018-04-01
89,78,bank_transfer,2600,2018-04-02
90,79,credit_card,1800,2018-04-03
91,79,credit_card,900,2018-04-04
92,80,gift_card,300,2018-04-05
93,81,coupon,200,2018-04-06
94,82,credit_card,800,2018-04-07
95,83,credit_card,100,2018-04-08
96,84,bank_transfer,2500,2018-04-09
97,85,bank_transfer,1700,2018-04-10
98,86,coupon,2300,2018-04-11
99,87,gift_card,3000,2018-04-12
100,87,credit_card,2600,2018-04-13
101,88,credit_card,2900,2018-04-14
102,89,bank_transfer,2200,2018-04-15
103,90,bank_transfer,200,2018-04-16
104,91,credit_card,1900,2018-04-17
105,92,bank_transfer,1500,2018-04-18
106,92,coupon,200,2018-04-19
107,93,gift_card,2600,2018-04-20
108,94,coupon,700,2018-04-21
109,95,coupon,2400,2018-04-22
110,96,gift_card,1700,2018-04-23
111,97,bank_transfer,1400,2018-04-24
112,98,bank_transfer,1000,2018-04-25
113,99,credit_card,2400,2018-04-26
